Time_s,Pressure_mbar,Flow_ul_min
272.57,399.92,0.00
273.57,399.92,0.00
274.57,399.92,0.00
275.57,399.86,0.00
276.57,399.92,0.00
277.58,399.86,0.00
278.58,399.92,0.00
279.58,399.86,0.00
280.58,399.86,0.00
281.58,399.86,0.00
282.58,399.86,0.00
283.58,399.98,0.00
284.59,399.86,0.00
285.59,399.86,0.00
286.59,399.92,0.00
287.59,399.98,0.00
288.59,399.86,0.00
289.59,399.92,0.00
290.59,399.86,0.00
291.59,399.86,0.00
293.59,399.80,0.00
294.59,399.86,0.00
295.59,338.37,0.00
296.59,258.30,0.00
297.60,178.06,0.00
298.60,97.46,0.00
299.60,17.40,0.00
300.60,352.09,0.00
301.60,270.73,0.00
302.60,188.77,0.00
303.60,107.64,0.00
304.60,30.58,0.00
305.61,-0.31,0.00
306.61,-0.06,0.00
307.61,-0.25,0.00
308.61,-0.19,0.00
309.61,-0.19,0.00
310.61,-0.19,0.00
311.61,-0.19,0.00
312.61,-0.31,0.00
313.61,-0.25,0.00
314.61,-0.25,0.00
315.61,-0.25,0.00
316.61,-0.31,0.00
317.62,-0.19,0.00
318.62,-0.06,0.00
319.62,-0.12,0.00
320.62,-0.19,0.00
321.62,-0.19,0.00
322.62,-0.19,0.00
323.62,-0.12,0.00
324.62,-0.25,0.00
325.63,-0.37,0.00
326.63,-0.19,0.00
327.63,-0.31,0.00
328.63,-0.12,0.00
329.63,-0.19,0.00
330.63,-0.25,0.00
331.63,-0.19,0.00
333.63,-0.12,0.00
334.63,-0.25,0.00
335.63,-0.19,0.00
337.64,-0.19,0.00
338.64,-0.19,0.00
339.64,-0.19,0.00
340.64,-0.25,0.00
341.64,-0.12,0.00
342.64,-0.19,0.00
343.64,-0.19,0.00
344.64,-0.19,0.00
345.65,-0.19,0.00
346.65,-0.25,0.00
347.65,-0.19,0.00
348.65,-0.25,0.00
349.65,-0.12,0.00
350.65,-0.19,0.00
351.65,-0.25,0.00
352.65,-0.19,0.00
353.65,-0.25,0.00
354.65,-0.31,0.00
355.65,-0.25,0.00
356.65,-0.06,0.00
357.65,-0.25,0.00
358.66,-0.31,0.00
359.66,-0.19,0.00
360.66,-0.19,0.00
361.66,-0.12,0.00
362.66,-0.19,0.00
363.66,-0.19,0.00
364.66,-0.25,0.00
365.66,-0.19,0.00
366.67,-0.19,0.00
367.67,-0.12,0.00
368.67,-0.25,0.00
369.67,-0.19,0.00
370.67,-0.25,0.00
371.67,-0.12,0.00
372.67,-0.19,0.00
373.67,-0.19,0.00
374.67,-0.25,0.00
375.67,-0.25,0.00
376.67,-0.12,0.00
