Time_s,Pressure_mbar,Flow_ul_min
0.00,-0.25,8.17
1.00,-0.12,1.66
2.00,-0.12,0.55
3.00,-0.19,4.48
4.00,-0.06,3.86
5.01,-0.06,3.14
6.01,-0.19,2.21
7.01,9.07,7.07
8.01,16.17,13.14
9.01,23.22,19.48
10.01,29.90,25.72
11.01,36.52,32.45
12.01,42.71,38.48
13.02,48.60,44.41
14.02,54.30,49.93
15.02,60.06,55.07
16.02,65.34,59.69
17.02,70.61,63.83
18.02,75.58,68.14
19.02,80.66,72.38
20.02,85.32,75.72
21.02,89.92,79.45
22.02,94.40,83.28
23.02,98.81,86.66
24.02,103.22,90.10
25.03,107.21,93.34
26.03,111.13,96.59
27.03,114.93,99.72
28.03,118.79,102.90
29.03,122.28,105.79
30.03,125.90,109.00
31.03,129.27,111.83
32.03,132.51,114.52
33.03,135.64,117.34
34.03,138.76,120.10
35.04,141.76,122.76
36.04,144.58,125.41
37.04,147.46,127.90
38.04,150.09,130.52
39.04,152.54,132.76
40.04,155.17,135.24
41.05,157.62,137.41
42.05,159.76,139.86
43.05,162.09,141.90
44.05,164.17,145.07
45.05,166.31,147.00
46.05,168.02,149.34
47.05,170.17,151.72
48.05,171.88,153.83
49.05,173.47,156.48
50.05,175.06,159.03
51.05,176.35,161.17
52.06,177.88,164.31
53.06,179.28,166.45
54.06,180.51,168.72
55.06,181.55,170.62
56.06,182.65,172.66
57.06,183.63,173.83
58.06,184.67,175.07
59.06,185.34,176.59
60.06,186.20,177.31
61.07,187.24,178.48
62.07,188.04,179.66
63.07,188.46,180.28
64.07,189.38,181.03
65.07,190.18,181.79
66.07,190.73,182.52
67.07,191.28,183.28
68.07,192.01,183.55
69.08,192.69,184.31
70.08,193.11,185.03
71.08,193.79,185.86
72.08,194.40,186.00
73.08,194.83,186.38
74.08,195.32,187.41
75.08,195.75,187.45
76.08,196.42,187.59
77.08,196.66,188.07
78.08,197.15,188.66
79.08,197.52,188.93
80.09,197.95,189.38
81.09,198.38,189.62
82.09,198.74,190.14
83.09,199.17,190.62
84.09,199.54,190.62
85.09,199.91,190.72
86.09,200.09,191.48
87.10,200.33,191.55
89.10,201.07,191.21
90.10,201.50,191.00
91.10,201.93,191.21
92.10,202.23,191.45
93.10,202.54,191.79
94.10,202.66,191.76
95.10,203.15,192.24
96.10,203.33,192.83
97.11,203.64,193.76
98.11,203.88,194.07
99.11,204.01,194.07
100.11,204.25,194.90
101.11,204.37,195.17
102.11,204.68,195.59
103.11,204.74,195.48
104.11,204.92,195.41
105.13,205.05,196.00
106.13,205.29,196.24
107.14,205.54,196.28
108.14,205.41,196.31
109.14,205.72,196.90
110.14,205.90,196.48
111.14,205.84,196.83
112.14,206.03,196.97
113.14,206.15,197.03
114.15,206.27,197.52
115.15,206.33,197.24
116.15,206.52,197.17
117.15,206.52,197.24
118.15,206.70,197.24
119.15,206.64,197.28
120.15,206.82,197.14
121.15,206.88,197.41
122.15,207.07,197.55
123.15,207.00,197.72
124.16,207.19,197.97
125.16,207.25,198.03
126.16,207.31,198.00
127.16,207.43,198.28
128.16,207.56,198.31
129.16,207.49,198.14
130.16,207.68,198.48
131.16,207.68,198.07
132.16,207.62,198.52
133.16,207.86,198.38
134.16,207.86,198.28
135.17,207.86,198.34
136.17,208.05,198.52
137.17,207.98,198.69
138.17,208.05,198.41
139.17,208.05,198.52
140.17,208.23,198.66
141.17,208.23,198.76
142.17,208.23,198.97
143.17,208.29,198.83
144.17,208.17,199.03
145.18,208.41,199.00
146.18,208.41,198.97
147.18,208.47,199.14
149.18,208.72,199.00
150.18,208.60,199.07
151.18,208.60,199.41
152.18,208.66,198.72
153.18,208.84,198.76
154.18,208.60,199.10
155.18,209.02,199.45
156.19,208.84,199.14
157.19,208.90,199.31
158.19,208.84,199.10
159.19,208.90,199.55
160.19,208.90,199.28
161.19,209.02,199.24
162.19,209.09,199.14
163.19,209.09,199.21
164.19,209.09,199.34
165.20,209.15,199.28
166.20,209.09,199.38
167.20,209.15,199.59
168.20,209.02,199.31
169.21,209.27,199.55
170.21,209.27,199.17
171.21,209.27,199.62
172.25,209.27,199.72
173.25,209.27,199.28
174.25,209.21,199.72
175.25,209.27,199.55
176.25,209.33,199.62
177.25,209.27,199.86
178.25,209.21,199.45
179.26,209.21,199.28
180.26,209.57,199.59
181.26,209.57,200.14
182.26,209.45,199.59
183.26,209.45,199.72
184.26,209.45,199.31
185.26,209.39,199.79
186.26,209.45,199.69
187.26,209.45,199.41
188.26,209.45,199.52
189.27,209.39,199.34
190.27,209.45,199.79
191.27,209.45,199.86
192.28,209.39,199.72
193.28,209.39,199.72
194.28,209.45,199.93
195.28,209.45,199.76
196.28,209.39,199.90
197.28,209.70,199.55
198.28,209.70,199.93
199.28,209.76,199.76
200.28,209.57,200.00
201.28,209.70,200.17
202.28,210.13,200.31
203.28,210.06,199.24
204.28,210.00,198.90
205.29,210.31,198.86
206.29,210.25,198.52
207.29,210.25,198.72
208.29,3.61,46.52
209.29,12.19,22.59
210.29,18.81,24.83
211.29,25.37,30.31
212.29,31.68,36.38
213.29,37.93,42.79
214.29,43.69,49.00
215.29,49.27,54.55
216.30,54.48,59.72
217.30,59.63,64.45
218.30,64.78,69.34
219.30,69.63,73.69
220.30,74.35,77.83
221.32,78.83,81.66
222.32,83.55,85.55
223.32,87.65,88.97
224.32,91.88,92.52
225.32,95.75,95.62
226.32,99.73,99.03
227.32,103.47,102.21
228.32,107.21,105.21
229.32,110.52,108.00
230.32,113.95,110.83
231.32,117.44,113.79
232.33,120.51,116.38
233.33,123.75,119.00
234.33,126.82,121.66
235.33,129.82,123.72
236.33,132.45,126.28
237.33,135.21,128.48
238.33,137.90,130.97
239.33,140.41,133.38
240.33,142.80,135.76
241.33,145.19,137.59
242.33,147.64,140.24
243.34,149.72,142.55
244.34,151.99,144.66
245.34,154.13,146.69
246.34,155.90,148.66
247.34,157.74,150.83
248.34,159.76,152.55
249.34,161.41,154.38
250.34,163.13,155.97
252.34,166.31,159.24
253.34,167.78,160.62
254.34,169.31,161.97
255.34,170.72,163.17
256.35,172.12,164.55
257.35,173.41,165.86
258.35,174.69,166.76
260.35,177.02,169.07
261.35,178.31,170.38
262.36,179.22,171.28
263.36,180.32,172.31
264.36,181.43,173.21
265.36,182.41,174.41
266.36,183.32,174.93
267.36,184.12,176.00
268.36,185.04,176.93
270.36,186.87,178.41
272.36,188.40,179.97
273.37,189.14,180.62
274.37,189.75,181.31
275.37,190.54,181.83
276.37,191.09,182.55
277.37,191.77,183.17
279.37,193.18,184.21
280.37,193.73,184.55
281.37,194.09,185.10
282.38,194.77,185.59
283.38,195.38,186.34
284.38,195.75,186.62
285.38,196.42,187.38
286.38,196.72,187.62
287.38,197.21,188.14
288.38,197.76,188.59
289.38,198.13,189.10
290.38,198.56,189.10
291.38,198.93,189.62
292.38,199.36,189.69
293.38,199.78,190.28
294.39,200.15,190.86
295.39,200.33,190.76
296.39,200.76,191.34
297.39,201.25,190.86
298.39,201.50,189.21
299.39,201.93,189.24
