Time_s,Pressure_mbar,Flow_ul_min
0.01,-40.34,0.00
1.01,-40.28,0.00
2.01,953.18,0.00
3.01,1000.00,0.00
4.01,1000.00,0.00
5.01,1000.00,0.00
6.01,1000.00,0.00
7.01,1000.00,0.00
8.02,1000.00,0.00
9.02,1000.00,0.00
10.02,1000.00,0.00
11.02,1000.00,0.00
12.02,1000.00,0.00
13.02,1000.00,0.00
14.02,1000.00,0.00
15.02,1000.00,0.00
16.02,1000.00,0.00
17.03,1000.00,0.00
18.03,1000.00,0.00
19.03,1000.00,0.00
20.03,1000.00,0.00
21.03,1000.00,0.00
23.03,1000.00,0.00
24.03,1000.00,0.00
25.04,1000.00,0.00
26.04,1000.00,0.00
27.04,1000.00,0.00
28.04,1000.00,0.00
29.04,1000.00,0.00
31.04,-2.15,0.00
32.04,-0.49,0.00
33.05,-0.25,0.00
34.05,-0.12,0.00
35.05,-0.12,0.00
135.19,-0.12,0.00
136.20,101.02,0.00
137.20,303.88,0.00
138.20,504.53,0.00
139.20,704.73,0.00
140.21,905.12,0.00
141.21,1000.00,0.00
142.21,1000.00,0.00
143.21,1000.00,0.00
144.21,1000.00,0.00
145.21,1000.00,0.00
147.21,1000.00,0.00
148.21,1000.00,0.00
149.22,1000.00,0.00
150.22,1000.00,0.00
151.22,1000.00,0.00
152.22,1000.00,0.00
153.22,1000.00,0.00
154.22,1000.00,0.00
155.22,1000.00,0.00
157.22,679.67,0.00
158.22,479.00,0.00
159.22,278.21,0.00
160.22,77.17,0.00
161.23,839.15,0.00
162.23,633.04,0.00
163.23,433.28,0.00
164.23,231.91,0.00
166.23,-0.37,0.00
167.23,-0.12,0.00
168.24,-0.12,0.00
169.24,-0.12,0.00
170.24,-0.12,0.00
172.24,135.70,0.00
173.24,226.10,0.00
174.25,316.68,0.00
175.25,407.08,0.00
176.25,450.36,0.00
177.25,450.11,0.00
178.25,450.11,0.00
179.25,450.05,0.00
180.25,450.05,0.00
181.25,449.99,0.00
183.25,450.11,0.00
184.25,450.11,0.00
185.26,450.11,0.00
186.26,450.05,0.00
187.26,450.05,0.00
189.26,450.17,0.00
190.26,450.17,0.00
191.26,450.11,0.00
192.27,450.05,0.00
193.27,450.05,0.00
194.27,450.11,0.00
195.27,450.05,0.00
196.27,450.11,0.00
197.27,450.23,0.00
198.27,450.11,0.00
199.27,450.05,0.00
200.27,450.05,0.00
201.28,450.11,0.00
202.28,450.05,0.00
203.28,450.05,0.00
204.28,450.11,0.00
205.28,450.05,0.00
207.28,450.11,0.00
208.28,450.05,0.00
209.28,450.11,0.00
210.29,450.05,0.00
211.30,449.99,0.00
212.31,450.11,0.00
213.31,450.05,0.00
214.31,450.05,0.00
215.31,450.11,0.00
216.31,450.11,0.00
217.32,299.59,0.00
218.32,210.68,0.00
219.32,120.45,0.00
221.32,396.92,0.00
222.32,302.84,0.00
223.32,211.66,0.00
224.32,120.57,0.00
225.33,66.19,0.00
227.33,-0.31,0.00
228.33,-0.06,0.00
229.34,-0.19,0.00
230.34,-0.06,0.00
231.34,-0.06,0.00
232.34,-0.12,0.00
233.34,-0.12,0.00
234.34,-0.19,0.00
235.34,-0.12,0.00
396.58,-0.19,0.00
397.58,202.35,0.00
398.59,416.51,0.00
399.59,586.45,0.00
400.59,793.97,0.00
401.59,1000.00,0.00
402.59,1000.00,0.00
403.59,1000.00,0.00
404.59,1000.00,0.00
405.59,1000.00,0.00
406.59,1000.00,0.00
407.59,1000.00,0.00
408.60,1000.00,0.00
409.60,1000.00,0.00
410.60,1000.00,0.00
411.60,1000.00,0.00
412.60,1000.00,0.00
413.60,1000.00,0.00
414.60,1000.00,0.00
415.60,1000.00,0.00
416.60,972.28,0.00
417.60,878.84,0.00
418.60,592.09,0.00
419.60,477.72,0.00
420.60,193.60,0.00
421.61,76.80,0.00
422.61,835.00,0.00
423.61,632.55,0.00
424.62,429.18,0.00
425.62,227.14,0.00
426.62,59.45,0.00
428.62,-0.37,0.00
429.62,-0.12,0.00
430.62,-0.19,0.00
431.63,-0.12,0.00
432.63,45.41,0.00
433.63,136.31,0.00
434.63,226.53,0.00
435.64,316.62,0.00
436.64,406.90,0.00
437.64,450.29,0.00
438.64,450.23,0.00
439.64,450.05,0.00
440.64,450.11,0.00
442.66,450.11,0.00
443.66,449.99,0.00
444.66,450.05,0.00
445.66,450.05,0.00
446.66,450.05,0.00
447.66,450.05,0.00
448.66,450.17,0.00
449.66,450.05,0.00
450.67,450.11,0.00
451.67,450.05,0.00
452.67,450.23,0.00
453.67,450.11,0.00
454.67,450.05,0.00
455.67,450.23,0.00
456.67,450.05,0.00
458.67,450.11,0.00
459.67,450.05,0.00
460.68,450.17,0.00
461.68,450.11,0.00
462.68,450.11,0.00
463.68,450.05,0.00
465.68,450.11,0.00
466.68,450.11,0.00
467.68,450.11,0.00
468.69,449.99,0.00
